Program Name,Organization Name,Type,Sex,City,LGBTQ,Domestic Violence,Zip Code,Urgency,Duration,Summary,Services,Program About,Organization About,Application Type,Application Details,Open Hours,Days,Hour Start,Minute Start,Hour End,Minute End,Address,Phone,Webpage
Youth Housing and Shelter Resources,Dolores Street Community Services,Housing Assessment,All,San Francisco,No,No,94110,Moderate,Long-Term,"This is a coordinated entry location for homeless youth ages 18-24 to receive housing assessments and support, and shelter referrals.","- Problem solving services
- Housing assessment and prioritization","In partnership with SF HSH, Dolores Community Services is a designated Coordinated Entry (CE) Access Point for homeless youth (aged 18 to 24 years old) to find permanent supportive housing and rapid re-housing in San Francisco. ","Dolores Street Community Services helps low-income and immigrant communities for a fairer society. They provide housing, shelter, and support. They also fight for women's and immigrant rights and have a community engagement program.",Coordinated Entry,Drop-in at 2645 Mission Street to receive a housing assessment.,Monday-Friday: 9:00 AM-5:00 PM (Wednesday: closes at 3:30 PM),"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","00,00,00,00,00,00,00","17,17,15,17,17,00,00","00,00,30,00,00,00,00",2645 Mission Street,+14158577762,https://www.dscs.org/find-services/housing/
Youth Housing and Shelter Resources,Larkin Street Youth Services,Housing Assessment,All,San Francisco,No,No,94102,Moderate,Long-Term,"This is a coordinated entry location for youth under 27 to receive housing assessments for shelter referrals, alongside educational/employment support and health/wellness/hygiene services.","- Shelter
- Case Management
- Educational Support/Referrals
- Employment Support/Referrals
- Wellness Services
- Health Services
- Hygiene Services
- Community Activities
- Population served: Youth under 27",Youth Coordinated Entry is provided for youth under the age of 27 via Access Points and via a mobile team that can attend to individual needs where they are located. A CONNECTION to an available youth shelter.,"Larkin Street Youth Services provides shelter, meals, medical services, and intensive case management to youth aged 12 to 25 years.",Coordinated Entry,Drop-in between 10:00 AM and 3:00 PM or schedule an appointment by call to receive a housing assessment.,Monday - Friday: 9:00 AM - 5:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","00,00,00,00,00,00,00","17,17,17,17,17,00,00","00,00,00,00,00,00,00",134 Golden Gate Avenue,+14156730911,https://larkinstreetyouth.org/get-help/drop-in-centers/
Youth Housing and Shelter Resources,LYRIC Center for LGBTQ Youth ,Housing Assessment,All,San Francisco,Yes,No,94103,Moderate,Long-Term,"This is a coordinated entry location for homeless LGBTQ youth ages 18-24 to receive housing assessments and support, and shelter referrals.","- Problem solving services
- Housing assessment and prioritization","In partnership with SF HSH, LYRIC is a designated Coordinated Entry (CE) Access Point for homeless LGBTQ youth (aged 18 to 24 years old) to find permanent supportive housing and rapid re-housing in San Francisco.","LYRIC’s mission is to build community and inspire positive social change through education enhancement, career trainings, health promotion, and leadership development with LGBTQ youth, their families, and allies of all races, classes, genders, and abilities.",Coordinated Entry,Drop-in Monday to Thursday or call to schedule an appointment to receive a housing assessment.,Monday - Friday: 9:30 AM - 5:30 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","30,30,30,30,30,00,00","17,17,17,17,17,00,00","30,30,30,30,30,00,00",566 Castro Street,+14158890342,https://lyric.org/coordinated-entry/
Youth Housing Resources,San Francisco LGBT Community Center,Housing Assessment,All,San Francisco,Yes,No,94102,Moderate,Long-Term,"This is a coordinated entry location for homeless LGBTQ youth ages 18-27 to receive housing assessments and support, and shelter referrals.","- Problem-Solving support: help with housing location, flexible financial support, and relocation/travel assistance
- Housing assessments and case management
- Referral to other community services
- Connection to available shelter",The SF LGBT Center is a Coordinated Entry Access Point for LGBTQ youth (aged 18 to 27 years old) who are experiencing homelessness or will lose their housing within 14 days.,"Since 2002, the San Francisco LGBT Community Center (SF LGBT Center) is a non-profit organization in San Francisco that serves members of the lesbian, gay, bisexual and transgender communities. SF LGBT Center has programs that provide LGBTQ individuals access to opportunities and resources for them to heal and thrive.",Coordinated Entry,Drop-in Tuesday or Wednesday from 12:00 PM to 5:00 PM or call to schedule an appointment for online services to receive a housing assessment. ,Monday - Thursday: 10:00 AM - 6:00 PM,"Monday,Tuesday,Wednesday,Thursday","10,10,10,10,00,00,00","00,00,00,00,00,00,00","18,18,18,18,00,00,00","00,00,00,00,00,00,00",1800 Market Street,+14158655612,https://www.sfcenter.org/program/youth-services/
Youth Housing and Shelter Resources - Bayview,3rd Street Youth Center & Clinic,Housing Assessment,All,San Francisco,No,No,94124,Moderate,Long-Term,"This is a coordinated entry location for homeless youth ages 18-27 to receive housing assessments for shelter referrals, alongside employment/healthcare/legal services and internet/computer access.","- Community Engagement
- Employment Services
- Healthcare & Mental Health
- Legal and Social services
- Internet/Computer Access
- Peer Resource Navigation",3rd Street Youth Center is a Coordinated Entry Access Point for youth (aged 18 to 27 years) who are experiencing homelessness or are at risk of homelessness,"The 3rd Street Youth Center and Clinic is a community based agency providing youth in Bayview Hunters Point with medical and behavioral health services that encourage them to make decisions that support their health, safety and development.",Coordinated Entry,"Call to schedule an appointment or leave a voicemail with your name, contact information, and preferred language to receive a housing assessment.",Monday - Friday: 9:30 AM - 5:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","30,30,30,30,30,00,00","17,17,17,17,17,00,00","00,00,00,00,00,00,00",5688 3rd Street,+14157135952,https://3rdstyouth.org/housing-services/
Domestic Violence Emergency Shelter,La Casa de las Madres,Emergency Shelter,Female,San Francisco,No,Yes,94103,High,Transitional,This is an 8-week emergency shelter for women and children experiencing domestic violence with access to counseling and support groups.,"- Onsite 24-hour staff to ensure safety and support
- Individual counseling
- Support groups
- Practical living skills development
- Resource Advocacy
- Support service referrals","La Casa De Las Madres has a safe, confidentially-located emergency shelter for women and children experiencing domestic violence to stay for up to 8 weeks. ","Since 1976, La Casa de las Madres has been responding to calls for help from domestic violence victims, of all ages, 24 hours a day, 365 days a year. Through their 24-hour toll-free crisis & support hotlines, text line and drop-in center, La Casa gives survivors the tools they need to transform their lives. They seek to prevent future violence by educating the community and by redefining public perceptions about  domestic violence.",Drop-In/Contact,Call or text with the numbers below for further instructions.,"24 hours/day, 7 days/week","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","00,00,00,00,00,00,00","00,00,00,00,00,00,00","23,23,23,23,23,23,23","59,59,59,59,59,59,59",1269 Howard Street,+18775031850,https://www.lacasa.org/crisis
Shelter Program,Asian Women's Shelter,Emergency Shelter,All,San Francisco,No,Yes,94110,High,Transitional,This is a shelter for surviviors of domestic violence with emergency services like food and clothing and support services like transportation and counseling.,"- Safe, confidential shelter with bed capacity of 15-18 people, including children
- Emergency services (food, clothing and ongoing health services)
- Multilingual support and culturally competent services
- Intensive case management
- Individual and group support
- Coordination of support services (legal advocacy and assistance, transportation, counseling, training/employment, and mentoring)
- Follow-up services, including resources to establish permanent or transitional housing",AWS serves all women survivors of domestic violence and human trafficking and their families,"San Francisco's Asian Women's Shelter helps survivors of domestic violence and human trafficking. Services offer long-term solutions to ending homelessness, poverty and domestic violence with a holistic, survivor-centered approach that strives to be both linguistically and culturally competent. Services are provided in 41 languages.",Drop-In/Contact,Call with the number below for further instructions.,Monday - Friday: 9:00 AM - 5:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","00,00,00,00,00,00,00","17,17,17,17,17,00,00","00,00,00,00,00,00,00",3543 18th Street,+14157517110,https://www.sfaws.org/resources
Young Adult Temporary Hotel Voucher Program,St. Vincent de Paul Society,Emergency Shelter,All,San Francisco,No,No,94103,High,Temporary,"This program provides youth ages 18-27 with a hotel voucher for 14 days, alongisde links to longer-term housing solutions.","- Emergency shelter
- Case management.
- Linkage to housing problem solving and assessment
- Employment services
- Benefit assistance
- Help obtaining critical documents (birth certificates, State ID, Social Security Card)
- Other individualized supports based on identified needs","St. Vincent de Paul Society’s Young Adult Temporary Hotel Voucher Program (also called Urgent Accommodation Voucher program, or UAV) assists young people ages 18-27 who are experiencing an emergency or do not have access to a traditional shelter by providing them with a hotel voucher for up to 14 days.","The St. Vincent de Paul Society of San Francisco was established in 1860 on a simple principle: assist those who need help the most. Whether it be through financial support, emotional or spiritual guidance, or by providing basic necessities such as food and shelter, we strive to offer our clients with a sense of hope during their darkest hours.",Drop-In/Contact,Call with the numbers below to see if you are eligible.,Monday - Friday: 9:00 AM - 5:30 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","00,00,00,00,00,00,00","17,17,17,17,17,00,00","30,30,30,30,30,00,00",1175 Howard Street,+14153504913,https://svdp-sf.org/
Adult Shelter Reservations,San Francisco Department of Homelessness and Supportive Housing,Shelter Reservation,All,San Francisco,No,No,94102,High,Temporary,This program allows homeless adults to sign up for an overnight shelter bed.,- Overnight shelter bed ,Sign up for the adult shelter reservation waitlist for a bed at three of HSH’s sites,"The Department of Homelessness and Supportive Housing (HSH) launched on July 1, 2016. The department combines key homeless-serving programs and contracts from the Department of Public Health (DPH), the Human Services Agency (HSA), the Mayor’s Office of Housing and Community Development (MOHCD), and the Department of Children Youth and Their Families (DCYF). This consolidated department has a singular focus on preventing and ending homelessness for people in San Francisco.",Drop-In/Contact,"Either fill our this form (https://sanfrancisco.form.us.empro.verintcloudservices.com/form/auto/hsh_shelter_reservation) which asks for name, birthdate, email, phone, and shelter preferences OR call with the number below.",Monday - Friday: 8:00 AM - 5:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","08,08,08,08,08,00,00","00,00,00,00,00,00,00","17,17,17,17,17,00,00","00,00,00,00,00,00,00",440 Turk Street,+16286528000,https://hsh.sfgov.org/services/how-to-get-services/accessing-temporary-shelter/adult-temporary-shelter/#shelter-reservations
Emergency Shelter,Salvation Army,Emergency Shelter,All,San Francisco,No,No,94103,Immidiate,Overnight,"This is an emergency shelter for individuals to receive a nutrious meal, a warm bed, and a clean shower.","- Nutrious meal
- Warm bed
- Clean shower","For families and individuals looking to escape extreme weather or just wanting a safe, quiet place to spend the night, emergency shelters provide a nutritious meal, a warm bed and a clean shower to those in need.","The Salvation Army, an international movement, is an evangelical part of the universal Christian Church. Its message is based on the Bible. Its ministry is motivated by the love of God. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.",Drop-In/Contact,Drop-in Monday - Friday at 1275 Harrison Street before 5:00 PM to receive shelter for the night.,Monday - Friday: 9:00 AM - 5:00 PM,"Monday,Tuesday,Wednesday,Thursday,Friday","09,09,09,09,09,00,00","00,00,00,00,00,00,00","17,17,17,17,17,00,00","00,00,00,00,00,00,00",1275 Harrison Street,+14155033003,https://sanfranciscoharborlight.salvationarmy.org/san_francisco_harbor_light/provide-shelter/
